Bureau of Meteorology station number,Location,Latitude,Longitude,Product code,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality,Date,Rainfall category
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,20,0.0,0.0,Y,2012-02-20,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,21,0.0,0.0,Y,2012-02-21,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,22,0.0,0.0,Y,2012-02-22,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,23,0.0,0.0,Y,2012-02-23,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,24,0.0,0.0,Y,2012-02-24,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,25,0.0,0.0,Y,2012-02-25,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,26,0.0,0.0,Y,2012-02-26,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,27,2.8,1.0,Y,2012-02-27,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,28,44.2,1.0,Y,2012-02-28,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,2,29,0.4,1.0,Y,2012-02-29,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,1,12.2,1.0,Y,2012-03-01,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,2,0.6,1.0,Y,2012-03-02,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,3,0.0,0.0,Y,2012-03-03,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,4,22.6,1.0,Y,2012-03-04,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,5,8.6,1.0,Y,2012-03-05,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,6,0.6,1.0,Y,2012-03-06,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,7,0.2,1.0,Y,2012-03-07,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,8,0.0,0.0,Y,2012-03-08,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,9,0.0,0.0,Y,2012-03-09,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,10,4.8,1.0,Y,2012-03-10,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,11,0.0,0.0,Y,2012-03-11,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,12,0.0,0.0,Y,2012-03-12,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,13,0.0,0.0,Y,2012-03-13,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,14,0.0,0.0,Y,2012-03-14,0
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,15,2.2,1.0,Y,2012-03-15,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,16,15.2,1.0,Y,2012-03-16,1
86072,Monbulk,-37.88,145.42,IDCJAC0009,2012,3,17,1.4,1.0,Y,2012-03-17,0
